CityName,Neighborhood,Lat,Long
תל אביב -יפו,צמרות איילון,32.079418,34.793753
תל אביב -יפו,מונטיפיורי,32.080445,34.797395
תל אביב -יפו,שפירא,32.047175,34.782609
גבעתיים,תל גנים,32.064543,34.80688
תל אביב -יפו,"עג'מי, גבעת העליה",32.046845,34.749545
תל אביב -יפו,צמרות איילון,32.08042,34.797633
תל אביב -יפו,מונטיפיורי,32.067019,34.786923
תל אביב -יפו,צהלון,32.045847,34.75689
תל אביב -יפו,"עג'מי, גבעת העליה",32.042811,34.747495
רמת גן,הבורסה,32.084053,34.800488
רמת גן,הבורסה,32.083681,34.803191
גבעתיים,תל גנים,32.062663,34.808508
גבעתיים,תל גנים,32.062847,34.80619
רמת גן,שכונת הגפן,32.088874,34.815665
בני ברק,גבעת סוקולוב,32.091752,34.839321
רמת השרון,"נווה מגן, נווה רסקו",32.132977,34.846949
תל אביב -יפו,"יפו העתיקה, נמל יפו",32.050679,34.752092
תל אביב -יפו,נווה דן,32.114466,34.830452
תל אביב -יפו,צהלון,32.045822,34.756985
תל אביב -יפו,תוכנית ל,32.11169,34.792256
תל אביב -יפו,צהלון,32.046598,34.753412
תל אביב -יפו,רמת אביב,32.103955,34.792609
תל אביב -יפו,נווה אביבים,32.113254,34.792726
תל אביב -יפו,"עג'מי, גבעת העליה",32.046442,34.748922
תל אביב -יפו,לב תל אביב,32.062761,34.776897
תל אביב -יפו,כוכב הצפון,32.101005,34.789344
גבעת שמואל,השחר,32.075541,34.844635
בני ברק,"אור החיים, רמת אהרון",32.080801,34.83984
בני ברק,"אור החיים, רמת אהרון",32.079535,34.838444
בני ברק,קרית ויז'ניץ,32.077084,34.836621
בני ברק,קרית נדבורנא,32.078661,34.833985
תל אביב -יפו,"מרכז הירידים, פארק הירקון",32.103276,34.80533
בני ברק,הר שלום,32.083059,34.828346
בני ברק,הר שלום,32.082751,34.826195
תל אביב -יפו,הצפון החדש - החלק הצפוני,32.095884,34.789194
תל אביב -יפו,רמת אביב החדשה,32.122113,34.794217
רמת השרון,נווה גן,32.125306,34.818948
רמת השרון,נווה גן,32.125201,34.818918
רמת השרון,נווה גן,32.125374,34.81513
אור יהודה,,32.036972,34.829188
בני ברק,"אור החיים, רמת אהרון",32.086847,34.839224
בני ברק,גבעת סוקולוב,32.089596,34.835712
בני ברק,גבעת סוקולוב,32.091769,34.835233
בני ברק,פרדס כץ ויסודות,32.092649,34.833158
בני ברק,פרדס כץ ויסודות,32.095072,34.833392
בני ברק,נחלת שמעון,32.096415,34.835184
בני ברק,נחלת שמעון,32.097178,34.838731
בני ברק,קרית הרצוג,32.095927,34.842602
בני ברק,קרית הרצוג,32.096318,34.842717
בני ברק,קרית הרצוג,32.098499,34.843347
בני ברק,קרית הרצוג,32.0991,34.840592
בני ברק,נחלת שמעון,32.095827,34.838194
בני ברק,נחלת שמעון,32.096474,34.834562
בני ברק,פרדס כץ ויסודות,32.094602,34.833065
בני ברק,גבעת סוקולוב,32.09142,34.833487
בני ברק,גבעת סוקולוב,32.090757,34.837339
בני ברק,גבעת סוקולוב,32.087723,34.838833
תל אביב -יפו,כרם התימנים,32.073112,34.766021
רמת השרון,גלילות,32.136892,34.79854
תל אביב -יפו,נווה שאנן,32.055378,34.774012
תל אביב -יפו,אזורי חן,32.132809,34.796433
רמת השרון,מורשה,32.130379,34.847079
תל אביב -יפו,נווה שאנן,32.057856,34.775109
תל אביב -יפו,"עג'מי, גבעת העליה",32.040346,34.748419
תל אביב -יפו,רמת אביב ג,32.122421,34.796584
תל אביב -יפו,אזורי חן,32.136686,34.798211
תל אביב -יפו,"עג'מי, גבעת העליה",32.03982,34.74679
תל אביב -יפו,נווה שאנן,32.059751,34.775817
תל אביב -יפו,"עג'מי, גבעת העליה",32.038042,34.747177
רמת השרון,מורשה,32.134,34.858249
תל אביב -יפו,אזורי חן,32.140177,34.800814
תל אביב -יפו,נווה שאנן,32.061072,34.778504
תל אביב -יפו,"עג'מי, גבעת העליה",32.036738,34.749256
רמת השרון,גלילות,32.141456,34.801712
רמת השרון,מורשה,32.134466,34.854252
תל אביב -יפו,כרם התימנים,32.071598,34.767836
רמת השרון,מורשה,32.135841,34.853281
רמת השרון,מורשה,32.13486,34.846174
תל אביב -יפו,לב תל אביב,32.075469,34.767295
הרצלייה,נחלת עדה וגן רש''ל,32.1785,34.829672
תל אביב -יפו,אוניברסיטת תל אביב,32.113359,34.807473
תל אביב -יפו,אוניברסיטת תל אביב,32.11401,34.807408
תל אביב -יפו,מונטיפיורי,32.063545,34.785525
תל אביב -יפו,מונטיפיורי,32.063545,34.78472
תל אביב -יפו,"עג'מי, גבעת העליה",32.043273,34.748538
הרצלייה,אזור תעשייה ומרינה,32.159847,34.810485
תל אביב -יפו,מונטיפיורי,32.065993,34.786475
הרצלייה,גבעת הסופר והרצליה ב,32.165862,34.813859
הרצלייה,הרצליה פיתוח,32.171251,34.814377
בני ברק,פרדס כץ ויסודות,32.094519,34.83134
הרצלייה,גבעת הסופר והרצליה ב,32.172803,34.815174
בני ברק,פרדס כץ ויסודות,32.095124,34.830939
תל אביב -יפו,הצפון החדש - החלק הדרומי,32.079139,34.781352
כפר שמריהו,כפר שמריהו,32.187891,34.816043
הרצלייה,"נוף ים, שיכון עולים,",32.179457,34.815879
בני ברק,בני ברק ביזנס סנטר,32.097469,34.829016
תל אביב -יפו,מונטיפיורי,32.059522,34.783519
בני ברק,פרדס כץ ויסודות,32.0968,34.829286
בני ברק,קניון אילון ואיצטדיון ר''ג,32.102395,34.827827
בני ברק,פרדס כץ ויסודות,32.092826,34.844748
הרצלייה,קרית ספורט ובינתחומי,32.164484,34.819195
רמת גן,מרכז העיר,32.086054,34.822295
תל אביב -יפו,"עג'מי, גבעת העליה",32.038014,34.746989
הרצלייה,קרית ספורט ובינתחומי,32.163967,34.823843
הרצלייה,קרית שחקים,32.163369,34.824011
בני ברק,"גני גד, הפועל המזרחי ה",32.08928,34.84056
בני ברק,תל גיבורים,32.091684,34.82649
רמת גן,שיכון עלית,32.090877,34.809145
רמת גן,שכונת ותיקים,32.091176,34.809382
רמת גן,שכונת ותיקים,32.095051,34.810444
רמת גן,שכונת ותיקים,32.095063,34.810128
בני ברק,הר שלום,32.082745,34.826155
רמת גן,שכונת ותיקים,32.095475,34.813879
רמת גן,שכונת ותיקים,32.095835,34.814572
רמת גן,שכונת ותיקים,32.096034,34.818151
תל אביב -יפו,נווה דן,32.109501,34.826522
רמת גן,שכונת ותיקים,32.096203,34.818007
רעננה,"קרית גנים, כפר בתיה",32.180841,34.850384
רמת השרון,הדר,32.137393,34.839385
תל אביב -יפו,הצפון החדש - סביבת ככר המדינה,32.08719,34.786148
רמת השרון,"נווה מגן, נווה רסקו",32.137845,34.836154
תל אביב -יפו,קרית שאול,32.12503,34.825109
רמת השרון,המשתלה,32.128625,34.828934
רעננה,"קרית גנים, כפר בתיה",32.180807,34.850583
הרצלייה,קרית ספורט ובינתחומי,32.171641,34.82912
רמת השרון,"נווה מגן, נווה רסקו",32.137349,34.839068
בני ברק,הר שלום,32.085496,34.829932
רמת השרון,קרית יערים,32.14825,34.839564
תל אביב -יפו,לב תל אביב,32.062762,34.774819
תל אביב -יפו,"יפו העתיקה, נמל יפו",32.05077,34.752363
רמת השרון,אלון,32.150443,34.841209
הרצלייה,אזור תעשייה ומרינה,32.159131,34.805609
הרצלייה,אזור תעשייה ומרינה,32.159763,34.809202
בני ברק,גבעת סוקולוב,32.086016,34.832087
הרצלייה,אזור תעשייה ומרינה,32.162017,34.806934
הרצלייה,גליל ים הרצליה,32.161569,34.826733
תל אביב -יפו,גני שרונה,32.07141,34.789124
הרצלייה,קרית ספורט ובינתחומי,32.16494,34.823218
הרצלייה,וייצמן,32.167895,34.828534
הרצלייה,וייצמן,32.168475,34.830818
הרצלייה,וייצמן,32.16846,34.830339
הרצלייה,שיכון עממי,32.16254,34.842507
הרצלייה,נווה ישראל,32.162272,34.835304
הרצלייה,וייצמן,32.16257,34.833945
הרצלייה,הרצליה הירוקה,32.169337,34.839404
הרצלייה,הרצליה הירוקה,32.170325,34.840342
הרצלייה,הרצליה החדשה,32.173847,34.836788
הרצלייה,יד התשעה,32.176593,34.851537
הרצלייה,גורדון,32.159649,34.849334
הרצלייה,גורדון,32.158706,34.850985
רמת השרון,נווה רום וגולן,32.140986,34.836389
הרצלייה,"צמרות, גני הרצליה, שיכון דרום",32.158193,34.850835
הרצלייה,גורדון,32.156701,34.848439
רמת השרון,הדר,32.141499,34.836726
הרצלייה,"צמרות, גני הרצליה, שיכון דרום",32.155945,34.847471
רמת השרון,נווה רום וגולן,32.145661,34.838391
הרצלייה,"צמרות, גני הרצליה, שיכון דרום",32.151996,34.842237
הרצלייה,"צמרות, גני הרצליה, שיכון דרום",32.149525,34.847567
הרצלייה,"צמרות, גני הרצליה, שיכון דרום",32.150753,34.844041
הרצלייה,פועלים,32.175592,34.848602
רמת השרון,קרית יערים,32.148541,34.839683
תל אביב -יפו,האקדמית תל אביב יפו,32.04975,34.760857
תל אביב -יפו,הצפון הישן - החלק הדרומי,32.072946,34.778749
גבעתיים,קרית יוסף,32.076694,34.804526
הרצלייה,נווה אמירים,32.153178,34.842191
הרצלייה,גורדון,32.154436,34.842373
הרצלייה,גורדון,32.157676,34.842482
גבעתיים,בורוכוב,32.076988,34.810134
גבעתיים,שיינקין,32.074607,34.80892
גבעתיים,שיינקין,32.074637,34.809337
גבעתיים,שיינקין,32.073498,34.812412
גבעתיים,שיינקין,32.074203,34.812477
תל אביב -יפו,גני שרונה,32.070844,34.782234
רמת גן,שיכון עלית,32.088959,34.80506
תל אביב -יפו,נאות אפקה ב,32.121643,34.824959
הרצלייה,אזור תעשייה ומרינה,32.16447,34.813174
הרצלייה,הרצליה פיתוח,32.176058,34.815873
תל אביב -יפו,גני שרונה,32.070447,34.78151
רמת גן,שיכון עלית,32.08919,34.807439
תל אביב -יפו,הצפון הישן - החלק הדרומי,32.07399,34.781693
רמת גן,שיכון עלית,32.089476,34.806042
רמת גן,שיכון עלית,32.089516,34.807023
תל אביב -יפו,אפקה,32.123053,34.808373
תל אביב -יפו,שדה דב,32.098826,34.779473
תל אביב -יפו,צהלון,32.050058,34.753255
תל אביב -יפו,צהלון,32.049849,34.755762
רעננה,הפרחים,32.180425,34.85267
רעננה,"קרית גנים, כפר בתיה",32.180698,34.8525
תל אביב -יפו,נווה שרת,32.118937,34.840766
תל אביב -יפו,נווה שרת,32.117048,34.841269
הרצלייה,קרית ספורט ובינתחומי,32.171133,34.828305
תל אביב -יפו,בבלי,32.093776,34.794741
רמת גן,שיכון צנחנים,32.056575,34.833801
הרצלייה,וייצמן,32.167675,34.832734
רמת גן,הבורסה,32.085028,34.799474
תל אביב -יפו,האקדמית תל אביב יפו,32.044979,34.759409
תל אביב -יפו,יפו א - דקר,32.044409,34.759418
תל אביב -יפו,נווה שאנן,32.054217,34.778739
תל אביב -יפו,רביבים,32.114751,34.825472
תל אביב -יפו,"גני צהלה, רמות צהלה",32.119374,34.825413
תל אביב -יפו,"גני צהלה, רמות צהלה",32.121339,34.825188
תל אביב -יפו,"גני צהלה, רמות צהלה",32.124808,34.825085
רמת השרון,הדר,32.138597,34.835463
תל אביב -יפו,מעוז אביב ב,32.109952,34.826126
תל אביב -יפו,נאות אפקה א,32.11506,34.825353
תל אביב -יפו,נאות אפקה ב,32.118403,34.825321
רמת השרון,נווה רום וגולן,32.137532,34.834739
הרצלייה,נווה אמירים,32.156764,34.842347
תל אביב -יפו,שפירא,32.053944,34.779601
תל אביב -יפו,שפירא,32.048633,34.781179
תל אביב -יפו,גני שרונה,32.073422,34.782954
כפר שמריהו,כפר שמריהו,32.180744,34.816008
תל אביב -יפו,גני שרונה,32.073515,34.783258
תל אביב -יפו,צמרות איילון,32.085151,34.7981
תל אביב -יפו,תל ברוך צפון,32.123494,34.815207
תל אביב -יפו,המשתלה,32.127554,34.834037
תל אביב -יפו,המשתלה,32.126103,34.835012
תל אביב -יפו,"גבעת הרצל, אזור המלאכה יפו",32.049818,34.772972
גבעתיים,בן צבי,32.066386,34.816004
גבעתיים,ארלוזורוב,32.069748,34.812416
רמת השרון,אלון,32.14681,34.839046
רמת השרון,אלון,32.149312,34.840291
בני ברק,"אור החיים, רמת אהרון",32.080854,34.834612
גבעתיים,ארלוזורוב,32.071522,34.812532
הרצלייה,גבעת הסופר והרצליה ב,32.16123,34.812229
תל אביב -יפו,תל חיים,32.059224,34.801861
תל אביב -יפו,יפו א - דקר,32.037419,34.757397
בני ברק,"אור החיים, רמת אהרון",32.082594,34.835374
תל אביב -יפו,יפו א - דקר,32.038457,34.76096
תל אביב -יפו,האקדמית תל אביב יפו,32.044468,34.761882
תל אביב -יפו,הצפון החדש - החלק הצפוני,32.09379,34.794595
תל אביב -יפו,הצפון החדש - סביבת ככר המדינה,32.08526,34.795058
תל אביב -יפו,הצפון החדש - החלק הדרומי,32.081359,34.794251
תל אביב -יפו,תל כביר נווה עופר,32.043977,34.763274
תל אביב -יפו,נווה שאנן,32.055686,34.783339
תל אביב -יפו,מונטיפיורי,32.066176,34.78665
תל אביב -יפו,צהלון,32.043819,34.753287
תל אביב -יפו,צהלון,32.045923,34.755006
תל אביב -יפו,הצפון הישן - החלק הדרומי,32.075107,34.781627
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.085457,34.774573
רמת השרון,קרית יערים,32.150273,34.833154
רמת השרון,מורשה,32.133198,34.862584
הרצלייה,שיכון עממי,32.161736,34.83899
הרצלייה,גבעת הסופר והרצליה ב,32.164372,34.816698
הרצלייה,אזור תעשייה ומרינה,32.161704,34.797013
הרצלייה,אזור תעשייה ומרינה,32.16585,34.813558
רמת השרון,הכפר הירוק,32.135538,34.832985
הרצלייה,אזור תעשייה ומרינה,32.163858,34.810761
הרצלייה,הרצליה פיתוח,32.166939,34.808451
תל אביב -יפו,פארק החורשות,32.04625,34.76872
תל אביב -יפו,צהלון,32.045832,34.754938
תל אביב -יפו,צהלון,32.044046,34.753474
תל אביב -יפו,"גבעת הרצל, אזור המלאכה יפו",32.048476,34.769077
תל אביב -יפו,"גבעת הרצל, אזור המלאכה יפו",32.052871,34.772213
תל אביב -יפו,"גבעת הרצל, אזור המלאכה יפו",32.051093,34.771786
תל אביב -יפו,יד אליהו,32.059197,34.792883
תל אביב -יפו,אפקה,32.120055,34.807785
הרצלייה,שיכון עממי,32.164968,34.835737
הרצלייה,שיכון עממי,32.164901,34.835672
תל אביב -יפו,תל כביר נווה עופר,32.044953,34.762753
תל אביב -יפו,צהלון,32.049658,34.758167
הרצלייה,נווה עובד,32.169208,34.848587
הרצלייה,נווה עמל,32.171372,34.860209
הרצלייה,הרצליה פיתוח,32.179176,34.803749
הרצלייה,"נוף ים, שיכון עולים,",32.180622,34.812237
הרצלייה,גבעת הסופר והרצליה ב,32.175691,34.817039
הרצלייה,גבעת הסופר והרצליה ב,32.17157,34.816144
הרצלייה,נחלת עדה וגן רש''ל,32.185748,34.84009
הרצלייה,נחלת עדה וגן רש''ל,32.178735,34.84294
הרצלייה,"נוף ים, שיכון עולים,",32.179669,34.806208
תל אביב -יפו,צפון יפו,32.049037,34.763062
תל אביב -יפו,תל כביר נווה עופר,32.046462,34.762938
תל אביב -יפו,האקדמית תל אביב יפו,32.047245,34.762938
תל אביב -יפו,צהלון,32.049062,34.752699
תל אביב -יפו,צהלון,32.04997,34.752808
תל אביב -יפו,"יפו העתיקה, נמל יפו",32.052374,34.753167
תל אביב -יפו,צפון יפו,32.05372,34.754957
תל אביב -יפו,צפון יפו,32.055231,34.757252
תל אביב -יפו,צפון יפו,32.056264,34.756961
תל אביב -יפו,צפון יפו,32.054888,34.760708
תל אביב -יפו,צפון יפו,32.054824,34.760779
תל אביב -יפו,"גבעת הרצל, אזור המלאכה יפו",32.051111,34.765013
תל אביב -יפו,צפון יפו,32.051274,34.764927
תל אביב -יפו,צפון יפו,32.05703,34.764501
תל אביב -יפו,צפון יפו,32.056743,34.764657
תל אביב -יפו,"גבעת הרצל, אזור המלאכה יפו",32.054844,34.765853
תל אביב -יפו,"גבעת הרצל, אזור המלאכה יפו",32.053594,34.765219
תל אביב -יפו,"גבעת הרצל, אזור המלאכה יפו",32.05368,34.765208
בני ברק,אזור תעשייה הלח''י,32.103169,34.829951
תל אביב -יפו,יפו ג,32.034197,34.751128
תל אביב -יפו,יפו ג,32.034172,34.751223
תל אביב -יפו,הצפון החדש - סביבת ככר המדינה,32.087642,34.790776
תל אביב -יפו,הצפון החדש - סביבת ככר המדינה,32.091,34.791051
רמת גן,"תל גנים, קרית בורכוב",32.068844,34.817111
תל אביב -יפו,"עזרא, הארגזים",32.044029,34.797972
הרצלייה,"צמרות, גני הרצליה, שיכון דרום",32.150995,34.849711
הרצלייה,פועלים,32.17684,34.843037
הרצלייה,נווה עמל,32.169994,34.858918
תל אביב -יפו,קרית שאול,32.128488,34.827433
הרצלייה,נחלת עדה וגן רש''ל,32.176679,34.845294
הרצלייה,וייצמן,32.162022,34.834526
הרצלייה,וייצמן,32.162865,34.827089
הרצלייה,גליל ים הרצליה,32.160797,34.828409
גליל ים,נווה ישראל,32.16008,34.833819
תל אביב -יפו,אוניברסיטת תל אביב,32.11743,34.805967
הרצלייה,נווה אמירים,32.155305,34.841896
הרצלייה,נחלת עדה וגן רש''ל,32.176369,34.848516
הרצלייה,הרצליה הצעירה,32.16715,34.848011
הרצלייה,"נוף ים, שיכון עולים,",32.186147,34.815242
תל אביב -יפו,יפו ד - גבעת התמרים,32.031362,34.751262
תל אביב -יפו,אפקה,32.117508,34.805955
תל אביב -יפו,שפירא,32.049673,34.783856
הרצלייה,נווה עמל,32.168425,34.856662
הרצלייה,נווה עמל,32.170321,34.857723
רמת השרון,מורשה,32.134048,34.857985
הרצלייה,גורדון,32.159623,34.849495
תל אביב -יפו,יפו ד - גבעת התמרים,32.032336,34.751272
תל אביב -יפו,יפו ד - גבעת התמרים,32.033533,34.757484
תל אביב -יפו,נווה צדק,32.065824,34.764081
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.082968,34.777067
הרצלייה,הרצליה החדשה,32.170415,34.834455
תל אביב -יפו,צהלון,32.049639,34.758393
רמת השרון,מורשה,32.131772,34.859584
הרצלייה,נווה עמל,32.16472,34.855632
הרצלייה,המרכז הבינתחומי וסביבתו,32.174901,34.835286
רמת השרון,מורשה,32.132243,34.861561
הרצלייה,קרית ספורט ובינתחומי,32.166195,34.827959
תל אביב -יפו,רמת אביב,32.113053,34.798486
תל אביב -יפו,צהלון,32.047431,34.7559
תל אביב -יפו,אזורי חן,32.131453,34.794797
תל אביב -יפו,אזורי חן,32.131465,34.793863
הרצלייה,נווה עובד,32.171037,34.852483
הרצלייה,וייצמן,32.164226,34.827573
תל אביב -יפו,נווה דן,32.111764,34.832105
תל אביב -יפו,הצפון החדש - סביבת ככר המדינה,32.085142,34.782525
תל אביב -יפו,פארק החורשות,32.043528,34.770109
בני ברק,קניון אילון ואיצטדיון ר''ג,32.103958,34.827875
בני ברק,קניון אילון ואיצטדיון ר''ג,32.103959,34.82791
תל אביב -יפו,נווה ברבור,32.049589,34.802041
תל אביב -יפו,כפיר,32.04947,34.801948
תל אביב -יפו,כפר שלם,32.049087,34.80627
תל אביב -יפו,"עג'מי, גבעת העליה",32.033007,34.744208
בני ברק,בני ברק ביזנס סנטר,32.098461,34.826789
בני ברק,בני ברק ביזנס סנטר,32.095438,34.823581
בני ברק,בני ברק ביזנס סנטר,32.097362,34.829892
בני ברק,נחלת שמעון,32.098414,34.833119
בני ברק,בני ברק ביזנס סנטר,32.098591,34.833421
בני ברק,פרדס כץ ויסודות,32.09718,34.829571
תל אביב -יפו,לב תל אביב,32.070355,34.77934
רמת השרון,,32.143125,34.818641
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.089634,34.773351
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.087403,34.772887
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.087462,34.770717
תל אביב -יפו,הצפון הישן - החלק הדרומי,32.084205,34.76948
תל אביב -יפו,הצפון הישן - החלק הדרומי,32.080425,34.768392
תל אביב -יפו,לב תל אביב,32.078205,34.766896
תל אביב -יפו,לב תל אביב,32.075372,34.766582
תל אביב -יפו,לב תל אביב,32.073745,34.766256
תל אביב -יפו,כרם התימנים,32.070588,34.763866
תל אביב -יפו,כרם התימנים,32.073283,34.764844
תל אביב -יפו,הצפון הישן - החלק הדרומי,32.078392,34.767649
תל אביב -יפו,הצפון הישן - החלק הדרומי,32.082548,34.769665
תל אביב -יפו,הצפון הישן - החלק הדרומי,32.081999,34.772633
תל אביב -יפו,הצפון הישן - החלק הדרומי,32.079804,34.772119
תל אביב -יפו,צפון יפו,32.053462,34.763998
תל אביב -יפו,פארק החורשות,32.049044,34.774322
תל אביב -יפו,קרית שלום,32.047166,34.781434
תל אביב -יפו,שפירא,32.048692,34.775733
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.085267,34.777431
תל אביב -יפו,נווה אביבים,32.114565,34.79617
תל אביב -יפו,נווה אביבים,32.117722,34.798072
תל אביב -יפו,נווה אביבים,32.117097,34.796473
תל אביב -יפו,נווה אביבים,32.11818,34.799631
תל אביב -יפו,הצפון החדש - סביבת ככר המדינה,32.090516,34.782827
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.094182,34.783422
תל אביב -יפו,הצפון החדש - החלק הצפוני,32.093912,34.784615
הרצלייה,אזור תעשייה ומרינה,32.158055,34.803848
הרצלייה,אזור תעשייה ומרינה,32.157309,34.8033
הרצלייה,אזור תעשייה ומרינה,32.156474,34.803529
הרצלייה,אזור תעשייה ומרינה,32.156836,34.806407
הרצלייה,תמל 1068 צפון מערבי עתידי,32.158266,34.822888
גליל ים,גליל ים הרצליה,32.158014,34.822706
הרצלייה,תמל 1068 צפון מערבי עתידי,32.156197,34.822188
הרצלייה,גליל ים הרצליה,32.155968,34.821574
הרצלייה,גליל ים הרצליה,32.160685,34.823831
הרצלייה,גליל ים הרצליה,32.160934,34.823782
הרצלייה,גליל ים הרצליה,32.160843,34.827193
הרצלייה,נווה ישראל,32.16035,34.834281
הרצלייה,קרית ספורט ובינתחומי,32.175087,34.829637
הרצלייה,קרית ספורט ובינתחומי,32.176031,34.829922
הרצלייה,קרית ספורט ובינתחומי,32.177845,34.830158
הרצלייה,גליל ים הרצליה,32.156939,34.816629
הרצלייה,גליל ים הרצליה,32.15651,34.81635
הרצלייה,גליל ים הרצליה,32.159197,34.817652
הרצלייה,גליל ים הרצליה,32.159558,34.818472
תל אביב -יפו,הצפון החדש - סביבת ככר המדינה,32.088746,34.7825
תל אביב -יפו,יפו ג,32.033936,34.745916
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.088637,34.782358
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.084799,34.781599
תל אביב -יפו,הצפון החדש - החלק הדרומי,32.084906,34.781737
תל אביב -יפו,תל כביר נווה עופר,32.04091,34.767553
הרצלייה,הרצליה הצעירה,32.164861,34.843355
רמת השרון,הכפר הירוק,32.142055,34.817579
הרצלייה,גורדון,32.158836,34.849943
הרצלייה,אזור תעשייה ומרינה,32.162466,34.809896
הרצלייה,אזור תעשייה ומרינה,32.165384,34.809792
תל אביב -יפו,"גבעת הרצל, אזור המלאכה יפו",32.053886,34.774863
בני ברק,גבעת סוקולוב,32.085784,34.834856
תל אביב -יפו,קרית שלום,32.046382,34.780638
תל אביב -יפו,הצפון החדש - החלק הדרומי,32.079832,34.787797
רמת גן,אזור הבילויים,32.059564,34.820253
רמת גן,רמת חן,32.059734,34.822151
רמת גן,רמת חן,32.058817,34.817602
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.08703,34.774371
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.08697,34.774625
גבעתיים,תל גנים,32.062056,34.81317
גבעתיים,תל גנים,32.063187,34.811142
תל אביב -יפו,מונטיפיורי,32.072915,34.79342
תל אביב -יפו,מונטיפיורי,32.072708,34.793409
תל אביב -יפו,גני שרונה,32.073872,34.784755
גבעתיים,שיינקין,32.073197,34.808614
תל אביב -יפו,ביצרון,32.072037,34.79567
תל אביב -יפו,תל חיים,32.065173,34.802999
תל אביב -יפו,תל חיים,32.065609,34.802782
תל אביב -יפו,רמת הטייסים,32.059039,34.809855
תל אביב -יפו,רמת הטייסים,32.058983,34.809651
תל אביב -יפו,הצפון החדש - סביבת ככר המדינה,32.082848,34.793499
תל אביב -יפו,הצפון החדש - החלק הדרומי,32.082804,34.793217
תל אביב -יפו,הצפון החדש - סביבת ככר המדינה,32.084686,34.784798
גבעתיים,תל גנים,32.060793,34.816393
גבעתיים,תל גנים,32.059964,34.816432
רמת גן,שיכון צנחנים,32.058398,34.82862
רמת גן,אזור הבילויים,32.059033,34.827303
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.091867,34.773073
גבעתיים,תל גנים,32.063816,34.809822
תל אביב -יפו,הצפון החדש - סביבת ככר המדינה,32.084031,34.787861
גבעתיים,כצנלסון דרום,32.073858,34.808587
גבעתיים,גבעת רמב''ם,32.07234,34.808629
גבעתיים,גבעת רמב''ם,32.068075,34.808511
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.088765,34.773603
תל אביב -יפו,נחלת יצחק,32.071523,34.797732
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.095159,34.774258
תל אביב -יפו,הצפון הישן- החלק הצפוני,32.094097,34.775193
תל אביב -יפו,תוכנית ל,32.109937,34.788957
